V,4X,4Y,5X,5Y,6X,6Y,7X,7Y,8X,8Y,9X,9Y
9.0,16768145.063370213,3.804969154822278e-06,12084498.875178313,2.928724030792897e-06,9119132.006195648,2.1905776767920806e-06,7410276.522375126,1.5866249061188943e-06,7042746.942215199,1.3135573430561663e-06,6738042.931313379,1.8133056485244119e-06
9.2,16724167.164889537,4.329129999406241e-06,12002825.635142773,3.4336154210584567e-06,8974633.196902,2.6819995501110835e-06,7080442.283770063,2.0351430572558912e-06,6090939.567954873,1.5355963837524391e-06,6106645.9602694,1.572277519091181e-06
9.4,16727308.443352442,4.457750488586297e-06,12012249.470531488,3.5206780638758708e-06,8996622.146142337,2.7276111029034756e-06,7124420.182250738,2.0417821556966925e-06,6216590.706471087,1.5292425140845504e-06,6254286.048025952,1.6529296004726796e-06
9.6,16695895.65872339,4.934628339160745e-06,11958847.736662097,3.9783152215739425e-06,8911807.627643893,3.1726945807980655e-06,6961073.702179659,2.4611946883553274e-06,5789376.835515958,1.8558930300314594e-06,5553780.950798055,1.6103804343691097e-06
9.8,16677047.987945957,5.400524340885373e-06,11927434.952033043,4.411129139449082e-06,8867829.729163218,3.579621705072017e-06,6879400.46214412,2.836550383593435e-06,5607182.684667447,2.176464695504479e-06,5085730.459825156,1.7448736615824123e-06
10.0,16658200.317168524,5.891415909819078e-06,11896022.16740399,4.873613129681001e-06,8823851.830682542,4.0213953826025036e-06,6813433.614423107,3.252718677358661e-06,5481531.546151232,2.5507044104524677e-06,4755896.221220093,1.9992093169969143e-06
10.2,16642493.924853997,6.407932447793974e-06,11870891.939700747,5.361503027651422e-06,8789297.767590584,4.491039817555904e-06,6760031.880553716,3.703072243770443e-06,5384151.913801166,2.972862166215887e-06,4520300.336502191,2.3475217677248576e-06
10.4,16614222.41868785,7.253414158734807e-06,11830055.319682978,6.185000920880074e-06,8735896.033721192,5.30983213518746e-06,6681499.918981082,4.5154954400217245e-06,5267924.610673667,3.766921100469719e-06,4303552.12256172,3.083307397440392e-06
10.6,16611081.140224945,7.507096355647082e-06,11823772.762757167,6.4137587528084885e-06,8729613.476795381,5.516087534479095e-06,6678358.640518176,4.696342495658103e-06,5267924.610673667,3.917704558434405e-06,4300410.844098815,3.1993521537275596e-06
10.8,16607939.86176204,7.877628578273456e-06,11820631.484294262,6.742848820696078e-06,8726472.198332475,5.808629685812962e-06,6675217.362055271,4.950284200757056e-06,5261642.053747857,4.129384265350931e-06,4297269.565635909,3.365337682993241e-06
